slug	topic	url	file	http_status	content_type	bytes	result
checkpoint-handala-hack	Check Point Handala Hack modus operandi	https://research.checkpoint.com/2026/handala-hack-unveiling-groups-modus-operandi/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/checkpoint-handala-hack.html	200	text/html; charset=UTF-8	193741	ok
checkpoint-iranian-mois-cybercrime	Check Point Iranian MOIS actors and cyber crime connection	https://research.checkpoint.com/2026/iranian-mois-actors-the-cyber-crime-connection/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/checkpoint-iranian-mois-cybercrime.html	200	text/html; charset=UTF-8	186591	ok
unit42-handala-wiper-risk	Unit 42 Handala increased risk of wiper attacks	https://unit42.paloaltonetworks.com/handala-hack-wiper-attacks/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/unit42-handala-wiper-risk.html	200	text/html; charset=UTF-8	220198	ok
unit42-iran-cyber-threat-evolution	Unit 42 Iranian cyber threat evolution	https://unit42.paloaltonetworks.com/evolution-of-iran-cyber-threats/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/unit42-iran-cyber-threat-evolution.html	200	text/html; charset=UTF-8	224942	ok
unit42-screening-serpens-2026	Unit 42 Screening Serpens 2026 espionage campaigns	https://unit42.paloaltonetworks.com/tracking-iran-apt-screening-serpens/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/unit42-screening-serpens-2026.html	200	text/html; charset=UTF-8	291781	ok
checkpoint-nimbus-manticore-iran-conflict	Check Point Nimbus Manticore operations during Iranian conflict	https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/checkpoint-nimbus-manticore-iran-conflict.html	200	text/html; charset=UTF-8	206272	ok
checkpoint-nimbus-manticore-new-malware	Check Point Nimbus Manticore new malware targeting Europe	https://research.checkpoint.com/2025/nimbus-manticore-deploys-new-malware-targeting-europe/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/checkpoint-nimbus-manticore-new-malware.html	200	text/html; charset=UTF-8	214325	ok
broadcom-seedworm-us-bank-airport-software	Broadcom Symantec Seedworm Iranian APT on networks	https://www.security.com/threat-intelligence/iran-cyber-threat-activity-us	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/broadcom-seedworm-us-bank-airport-software.html	200	text/html; charset=utf-8	372797	ok
eset-muddywater-snakes-riverbank	ESET WeLiveSecurity MuddyWater Snakes by the Riverbank	https://www.welivesecurity.com/en/eset-research/muddywater-snakes-riverbank/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/eset-muddywater-snakes-riverbank.html	200	text/html; charset=UTF-8	173695	ok
eset-muddywater-press-release	ESET press release MuddyWater critical infrastructure Israel Egypt	https://www.eset.com/us/about/newsroom/research/iran-muddywater-critical-infrastructure-israel-egypt-snake-game-eset-research/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/eset-muddywater-press-release.html	200	text/html; charset=utf-8	139681	ok
kela-handala-telegram-breach	KELA Handala Telegram breach Israeli officials	https://www.kelacyber.com/blog/handala-hack-telegram-breach-israeli-officials/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/kela-handala-telegram-breach.html	200	text/html; charset=UTF-8	301073	ok
doj-handala-domain-seizure	DOJ disrupts Iranian cyber enabled psychological operations	https://www.justice.gov/opa/pr/justice-department-disrupts-iranian-cyber-enabled-psychological-operations	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/doj-handala-domain-seizure.html	200	text/html; charset=UTF-8	98548	ok
fbi-handala-domain-seizure	FBI disrupts Iranian cyber enabled psychological operations	https://www.fbi.gov/news/press-releases/justice-department-disrupts-iranian-cyber-enabled-psychological-operations	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/fbi-handala-domain-seizure.html	403	text/html; charset=UTF-8	5918	http_403
incd-2025-summary-report	INCD 2025 Summary Report PDF	https://www.gov.il/BlobFolder/news/2025report/en/summary2025.pdf	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/pdf/incd-2025-summary-report.pdf	200	application/pdf	9869743	ok
govil-iran-daily-status-2026-03-19	gov.il Israel US Attack on Iran daily status update PDF	https://www.gov.il/BlobFolder/reports/israel-and-us-strikes-in-iran-daily-status_19_3_26/en/mashlat_Roaring_Lion_israel-and-us-strikes-in-iran-daily-status_19_3_26.pdf	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/pdf/govil-iran-daily-status-2026-03-19.pdf	200	application/pdf	3994143	ok
unit42-iranian-cyberattacks-2026	Unit 42 threat brief Iran cyber risk 2026	https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/unit42-iranian-cyberattacks-2026.html	200	text/html; charset=UTF-8	283356	ok
unit42-iranian-cyberattacks-2025	Unit 42 threat brief Iran cyber risk 2025	https://unit42.paloaltonetworks.com/iranian-cyberattacks-2025/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/unit42-iranian-cyberattacks-2025.html	200	text/html; charset=UTF-8	236450	ok
radware-hybrid-warfare-2025-israel-iran	Radware hybrid warfare unfolded Israel Iran war	https://www.radware.com/security/threat-advisories-and-attack-reports/cyberattacks-hacktivism-and-disinformation-in-the-2025-israel-iran-war/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/radware-hybrid-warfare-2025-israel-iran.html	200	text/html; charset=UTF-8	118246	ok
radware-heightened-cyberthreat-israel-iran	Radware heightened cyberthreat amidst Israel Iran conflict	https://www.radware.com/security/threat-advisories-and-attack-reports/heightened-cyberthreat-amidst-israel-iran-conflict/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/radware-heightened-cyberthreat-israel-iran.html	200	text/html; charset=UTF-8	118246	ok
toi-clalit-handala-breach	Times of Israel Clalit breach claim by Handala	https://www.timesofisrael.com/iran-linked-hacker-group-claims-to-breach-data-of-israels-largest-healthcare-network/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/toi-clalit-handala-breach.html	200	text/html; charset=UTF-8	390123	ok
toi-braverman-bennett-compromise	Times of Israel Braverman Bennett compromise claims	https://www.timesofisrael.com/iranian-hacking-group-claims-to-seize-damning-info-from-phone-of-pms-chief-of-staff/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/toi-braverman-bennett-compromise.html	200	text/html; charset=UTF-8	370882	ok
toi-us-seizure-handala-domains	Times of Israel US seizure of Handala domains	https://www.timesofisrael.com/liveblog_entry/us-authorities-seize-domains-of-iranian-hackers-who-stole-info-from-former-pm-bennett/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/toi-us-seizure-handala-domains.html	403	text/html; charset=UTF-8	24702	http_403
reuters-iran-cyberattacks-israel-surged-2026	Reuters Iran cyberattacks on Israel surged in 2026	https://www.reuters.com/world/middle-east/iran-cyberattacks-israel-surged-2026-israeli-cyber-chief-says-2026-06-29/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/reuters-iran-cyberattacks-israel-surged-2026.html	401	text/html;charset=utf-8	771	http_401
fbi-handala-domain-seizure-browser-fallback	FBI URL browser fallback redirected to DOJ page	https://www.fbi.gov/news/press-releases/justice-department-disrupts-iranian-cyber-enabled-psychological-operations	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/fbi-handala-domain-seizure.browser.html	200	text/html	110148	browser_ok_redirected_to_doj
toi-us-seizure-handala-domains-browser-fallback	Times of Israel US seizure browser fallback	https://www.timesofisrael.com/liveblog_entry/us-authorities-seize-domains-of-iranian-hackers-who-stole-info-from-former-pm-bennett/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/toi-us-seizure-handala-domains.browser.html	200	text/html	406093	browser_ok
reuters-iran-cyberattacks-israel-surged-2026-browser-fallback	Reuters browser fallback still blocked	https://www.reuters.com/world/middle-east/iran-cyberattacks-israel-surged-2026-israeli-cyber-chief-says-2026-06-29/	/home/andrey/git-projects/adversarygraph/research/iran-israel-cyber-reports/html/reuters-iran-cyberattacks-israel-surged-2026.browser.html	401	text/html	1565	browser_blocked_http_401
